Time,Without_CO
8:34 AM,179
8:34 AM,179
8:34 AM,179
8:34 AM,178
8:34 AM,178
8:34 AM,178
8:34 AM,178
8:34 AM,177
8:34 AM,177
8:34 AM,177
8:34 AM,177
8:34 AM,177
8:34 AM,176
8:34 AM,176
8:34 AM,176
8:34 AM,176
8:34 AM,176
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,174
8:34 AM,174
8:34 AM,174
8:34 AM,174
8:34 AM,174
8:34 AM,174
8:34 AM,173
8:34 AM,174
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,173
8:34 AM,172
8:34 AM,172
8:34 AM,172
8:34 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,171
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,171
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,172
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,171
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:35 AM,170
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,169
8:36 AM,170
8:36 AM,170
8:36 AM,170
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,169
8:36 AM,168
8:36 AM,168
8:36 AM,168
8:36 AM,169
8:36 AM,168
8:36 AM,168
8:36 AM,168
8:36 AM,168
8:36 AM,168
8:36 AM,168
