Time,With_variation
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,175
8:34 AM,174
8:34 AM,168
8:34 AM,173
8:34 AM,181
8:34 AM,188
8:34 AM,191
8:34 AM,192
8:34 AM,193
8:34 AM,193
8:34 AM,193
8:34 AM,193
8:34 AM,195
8:34 AM,189
8:34 AM,189
8:34 AM,200
8:34 AM,203
8:34 AM,205
8:34 AM,207
8:34 AM,207
8:34 AM,207
8:34 AM,206
8:34 AM,205
8:34 AM,203
8:34 AM,201
8:34 AM,200
8:34 AM,198
8:34 AM,197
8:34 AM,196
8:34 AM,193
8:34 AM,197
8:34 AM,203
8:34 AM,206
8:34 AM,208
8:34 AM,208
8:34 AM,208
8:34 AM,207
8:34 AM,205
8:34 AM,207
8:34 AM,212
8:34 AM,211
8:34 AM,211
8:34 AM,208
8:34 AM,217
8:35 AM,221
8:35 AM,224
8:35 AM,225
8:35 AM,228
8:35 AM,217
8:35 AM,226
8:35 AM,238
8:35 AM,245
8:35 AM,236
8:35 AM,253
8:35 AM,261
8:35 AM,268
8:35 AM,262
8:35 AM,259
8:35 AM,256
8:35 AM,251
8:35 AM,247
8:35 AM,243
8:35 AM,238
8:35 AM,234
8:35 AM,230
8:35 AM,227
8:35 AM,223
8:35 AM,220
8:35 AM,217
8:35 AM,215
8:35 AM,212
8:35 AM,210
8:35 AM,208
8:35 AM,210
8:35 AM,209
8:35 AM,202
8:35 AM,201
8:35 AM,201
8:35 AM,201
8:35 AM,200
8:35 AM,200
8:35 AM,200
8:35 AM,198
8:35 AM,198
8:35 AM,198
8:35 AM,198
8:35 AM,197
8:35 AM,194
8:35 AM,218
8:35 AM,217
8:35 AM,217
8:35 AM,216
8:35 AM,215
8:35 AM,213
8:35 AM,211
8:35 AM,215
8:35 AM,216
8:35 AM,218
8:35 AM,215
8:35 AM,214
8:35 AM,214
8:35 AM,213
8:35 AM,211
8:35 AM,210
8:36 AM,209
8:36 AM,207
8:36 AM,205
8:36 AM,204
8:36 AM,203
8:36 AM,201
8:36 AM,201
8:36 AM,202
8:36 AM,216
8:36 AM,220
8:36 AM,221
8:36 AM,221
8:36 AM,220
8:36 AM,219
8:36 AM,218
8:36 AM,216
8:36 AM,214
8:36 AM,212
8:36 AM,210
8:36 AM,209
8:36 AM,207
8:36 AM,206
8:36 AM,204
8:36 AM,202
8:36 AM,201
8:36 AM,200
8:36 AM,199
8:36 AM,198
8:36 AM,197
8:36 AM,197
8:36 AM,196
8:36 AM,200
8:36 AM,211
8:36 AM,212
8:36 AM,212
8:36 AM,212
8:36 AM,211
8:36 AM,209
8:36 AM,208
8:36 AM,207
8:36 AM,206
8:36 AM,205
8:36 AM,203
8:36 AM,202
8:36 AM,201
8:36 AM,200
8:36 AM,199
8:36 AM,198
8:36 AM,197
8:36 AM,196
8:36 AM,195
8:36 AM,195
8:36 AM,194
8:36 AM,193
8:36 AM,192
8:36 AM,192
8:36 AM,191
8:36 AM,191
8:36 AM,190
8:36 AM,190
8:37 AM,190
8:37 AM,189
8:37 AM,199
8:37 AM,218
8:37 AM,222
8:37 AM,223
8:37 AM,224
8:37 AM,227
8:37 AM,224
8:37 AM,221
8:37 AM,210
8:37 AM,230
8:37 AM,232
8:37 AM,233
8:37 AM,234
8:37 AM,232
8:37 AM,230
8:37 AM,227
8:37 AM,222
8:37 AM,220
8:37 AM,234
8:37 AM,239
8:37 AM,239
8:37 AM,238
8:37 AM,237
8:37 AM,234
8:37 AM,231
8:37 AM,229
8:37 AM,225
